id,distractor,tv,reading,music,talking_phone,messaging,socnet,comp_video,other_comp,games,tv_socnet,tv_messaging,tv_comp_video,tv_other_comp,socnet_tv,socnet_messaging,socnet_comp_video,socnet_other_comp,messaging_tv,messaging_socnet,messaging_comp_video,messaging_other_comp,comp_video_tv,comp_video_socnet,comp_video_messaging,comp_video_other_comp,other_comp_tv,other_comp_socnet,other_comp_messaging,other_comp_comp_video,yob,gender,first_language,faculty,academic_performance,parents_qualification,navigation_tool,life1,life2,life3,recall_1,recall_2
282,absa,1-2 hours,30 minute to 1 hour,2-3 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,30 minute to 1 hour,1-2 hours,Often,Often,Sometimes,Never,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Often,Often,Often,Never,Sometimes,Sometimes,Sometimes,1998,Male,English,Engineering,55-60%,University - Masters or PhD,Mouse,26,34,12,Absa,Capital growth
283,absa,1-2 hours,Less than 30 minutes,30 minute to 1 hour,Less than 30 minutes,Less than 30 minutes,Less than 30 minutes,2-3 hours,1-2 hours,1-2 hours,Sometimes,Often,Sometimes,Sometimes,Never,Often,Never,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Often,Often,Never,Sometimes,Often,Often,1996,Male,English,Economic and Management Sciences,60-65%,University - Bachelors,Mouse,23,30,4,Standard Bank,Business growth
284,absa,Not at all,30 minute to 1 hour,3 hours or more,Less than 30 minutes,1-2 hours,1-2 hours,2-3 hours,30 minute to 1 hour,Not at all,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Often,Often,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Often,Often,Never,1995,Female,English,Education,75-80%,University - Honours,Touch pad,14,26,19,Absa,Personal growth
285,absa,Not at all,2-3 hours,3 hours or more,Not at all,3 hours or more,Less than 30 minutes,1-2 hours,Less than 30 minutes,Not at all,Very often,Often,Often,Sometimes,Never,Very often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Never,Sometimes,Often,Sometimes,Sometimes,Never,Very often,Sometimes,Never,1996,Male,Afrikaans,Arts and Social Sciences,60-65%,Matric,Mouse,19,8,24,Absa,Shared growth
286,absa,Not at all,Less than 30 minutes,1-2 hours,Not at all,1-2 hours,Less than 30 minutes,1-2 hours,30 minute to 1 hour,Not at all,Very often,Very often,Never,Sometimes,Very often,Very often,Often,Sometimes,Often,Often,Sometimes,Sometimes,Never,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,1996,Female,English,Engineering,50-55%,Matric,Touch pad,21,11,4,Absa,Business growth
287,absa,Not at all,2-3 hours,Less than 30 minutes,Less than 30 minutes,30 minute to 1 hour,1-2 hours,1-2 hours,30 minute to 1 hour,Not at all,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,1994,Female,English,Law,65-70%,University - Masters or PhD,Touch pad,32,45,5,Absa,Shared growth
288,absa,Not at all,Less than 30 minutes,3 hours or more,Less than 30 minutes,3 hours or more,3 hours or more,3 hours or more,1-2 hours,Not at all,Very often,Very often,Never,Never,Never,Very often,Very often,Never,Very often,Very often,Very often,Very often,Never,Very often,Very often,Very often,Very often,Sometimes,Sometimes,Sometimes,1993,Female,English,AgriSciences,55-60%,University - Bachelors,Mouse,14,14,19,Absa,Shared growth
289,absa,Not at all,Less than 30 minutes,30 minute to 1 hour,Less than 30 minutes,30 minute to 1 hour,30 minute to 1 hour,Not at all,30 minute to 1 hour,Not at all,Very often,Very often,Never,Sometimes,Very often,Often,Sometimes,Never,Very often,Very often,Sometimes,Often,Never,Sometimes,Very often,Never,Never,Never,Often,Never,1997,Female,English,Engineering,75-80%,University - Honours,Mouse,23,32,8,FNB,Business growth
290,absa,Not at all,Less than 30 minutes,30 minute to 1 hour,Not at all,1-2 hours,Not at all,Not at all,1-2 hours,Not at all,Sometimes,Very often,Never,Often,Never,Very often,Never,Never,Never,Never,Never,Never,Never,Sometimes,Very often,Often,Never,Sometimes,Very often,Sometimes,1998,Female,English,AgriSciences,80-85%,University - Honours,Mouse,43,31,54,Absa,Shared growth
291,absa,2-3 hours,Not at all,2-3 hours,30 minute to 1 hour,2-3 hours,30 minute to 1 hour,3 hours or more,1-2 hours,1-2 hours,Sometimes,Often,Very often,Often,Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Very often,1998,Male,English,Economic and Management Sciences,55-60%,Matric,Mouse,9,32,51,FNB,Capital growth
